date,state,district,pincode,demo_age_5_17,demo_age_17_
03-09-2025,Maharashtra,Mumbai Suburban,400077,0,6
03-09-2025,Maharashtra,Mumbai Suburban,400089,1,13
03-09-2025,Maharashtra,Mumbai Suburban,400097,5,33
03-09-2025,Maharashtra,Mumbai Suburban,400098,0,1
03-09-2025,Maharashtra,Mumbai Suburban,400103,1,9
05-09-2025,Maharashtra,Mumbai Suburban,400043,6,38
05-09-2025,Maharashtra,Mumbai Suburban,400052,0,6
05-09-2025,Maharashtra,Mumbai Suburban,400056,0,5
05-09-2025,Maharashtra,Mumbai Suburban,400072,4,27
05-09-2025,Maharashtra,Mumbai Suburban,400075,1,11
05-09-2025,Maharashtra,Mumbai Suburban,400076,0,4
05-09-2025,Maharashtra,Mumbai Suburban,400104,4,23
04-09-2025,Maharashtra,Mumbai Suburban,400051,0,23
04-09-2025,Maharashtra,Mumbai Suburban,400052,2,9
04-09-2025,Maharashtra,Mumbai Suburban,400054,0,17
04-09-2025,Maharashtra,Mumbai Suburban,400063,0,10
04-09-2025,Maharashtra,Mumbai Suburban,400069,0,5
04-09-2025,Maharashtra,Mumbai Suburban,400074,3,11
04-09-2025,Maharashtra,Mumbai Suburban,400076,1,8
04-09-2025,Maharashtra,Mumbai Suburban,400078,3,24
04-09-2025,Maharashtra,Mumbai Suburban,400101,1,23
06-09-2025,Maharashtra,Mumbai Suburban,400042,1,9
06-09-2025,Maharashtra,Mumbai Suburban,400052,0,5
06-09-2025,Maharashtra,Mumbai Suburban,400064,2,29
06-09-2025,Maharashtra,Mumbai Suburban,400074,1,6
06-09-2025,Maharashtra,Mumbai Suburban,400082,0,1
06-09-2025,Maharashtra,Mumbai Suburban,400088,6,15
06-09-2025,Maharashtra,Mumbai Suburban,400091,0,5
06-09-2025,Maharashtra,Mumbai Suburban,400092,4,23
06-09-2025,Maharashtra,Mumbai Suburban,400094,1,1
07-09-2025,Maharashtra,Mumbai Suburban,400043,5,14
07-09-2025,Maharashtra,Mumbai Suburban,400063,0,5
07-09-2025,Maharashtra,Mumbai Suburban,400070,0,6
07-09-2025,Maharashtra,Mumbai Suburban,400071,1,1
07-09-2025,Maharashtra,Mumbai Suburban,400074,0,1
07-09-2025,Maharashtra,Mumbai Suburban,400078,0,8
07-09-2025,Maharashtra,Mumbai Suburban,400098,0,1
08-09-2025,Maharashtra,Mumbai Suburban,400029,0,1
08-09-2025,Maharashtra,Mumbai Suburban,400043,0,12
08-09-2025,Maharashtra,Mumbai Suburban,400049,0,2
08-09-2025,Maharashtra,Mumbai Suburban,400053,0,8
08-09-2025,Maharashtra,Mumbai Suburban,400055,2,10
08-09-2025,Maharashtra,Mumbai Suburban,400056,0,8
08-09-2025,Maharashtra,Mumbai Suburban,400069,0,4
08-09-2025,Maharashtra,Mumbai Suburban,400083,0,12
08-09-2025,Maharashtra,Mumbai Suburban,400104,2,26
09-09-2025,Maharashtra,Mumbai Suburban,400061,0,7
09-09-2025,Maharashtra,Mumbai Suburban,400064,1,24
09-09-2025,Maharashtra,Mumbai Suburban,400065,2,11
09-09-2025,Maharashtra,Mumbai Suburban,400070,2,38
09-09-2025,Maharashtra,Mumbai Suburban,400077,0,11
09-09-2025,Maharashtra,Mumbai Suburban,400083,1,22
09-09-2025,Maharashtra,Mumbai Suburban,400084,0,5
09-09-2025,Maharashtra,Mumbai Suburban,400092,1,22
09-09-2025,Maharashtra,Mumbai Suburban,400099,0,18
10-09-2025,Maharashtra,Mumbai Suburban,400042,0,9
10-09-2025,Maharashtra,Mumbai Suburban,400043,10,63
10-09-2025,Maharashtra,Mumbai Suburban,400052,0,8
10-09-2025,Maharashtra,Mumbai Suburban,400059,0,16
10-09-2025,Maharashtra,Mumbai Suburban,400070,8,39
10-09-2025,Maharashtra,Mumbai Suburban,400072,8,50
11-09-2025,Maharashtra,Mumbai Suburban,400042,0,5
11-09-2025,Maharashtra,Mumbai Suburban,400052,0,3
11-09-2025,Maharashtra,Mumbai Suburban,400066,1,21
11-09-2025,Maharashtra,Mumbai Suburban,400069,0,10
11-09-2025,Maharashtra,Mumbai Suburban,400070,7,38
11-09-2025,Maharashtra,Mumbai Suburban,400083,1,12
11-09-2025,Maharashtra,Mumbai Suburban,400086,1,19
11-09-2025,Maharashtra,Mumbai Suburban,400092,1,25
11-09-2025,Maharashtra,Mumbai Suburban,400095,4,37
11-09-2025,Maharashtra,Mumbai Suburban,400098,0,1
11-09-2025,Maharashtra,Mumbai Suburban,400099,2,16
13-09-2025,Maharashtra,Mumbai Suburban,400043,18,58
13-09-2025,Maharashtra,Mumbai Suburban,400049,0,1
13-09-2025,Maharashtra,Mumbai Suburban,400050,2,15
13-09-2025,Maharashtra,Mumbai Suburban,400053,1,15
13-09-2025,Maharashtra,Mumbai Suburban,400056,0,2
13-09-2025,Maharashtra,Mumbai Suburban,400058,0,12
13-09-2025,Maharashtra,Mumbai Suburban,400060,4,14
13-09-2025,Maharashtra,Mumbai Suburban,400061,1,6
13-09-2025,Maharashtra,Mumbai Suburban,400063,1,14
13-09-2025,Maharashtra,Mumbai Suburban,400081,1,6
13-09-2025,Maharashtra,Mumbai Suburban,400086,5,24
13-09-2025,Maharashtra,Mumbai Suburban,400094,3,8
13-09-2025,Maharashtra,Mumbai Suburban,400095,5,28
13-09-2025,Maharashtra,Mumbai Suburban,400097,5,36
12-09-2025,Maharashtra,Mumbai Suburban,400024,1,8
12-09-2025,Maharashtra,Mumbai Suburban,400050,1,13
12-09-2025,Maharashtra,Mumbai Suburban,400053,1,19
12-09-2025,Maharashtra,Mumbai Suburban,400054,3,20
12-09-2025,Maharashtra,Mumbai Suburban,400061,3,13
12-09-2025,Maharashtra,Mumbai Suburban,400063,2,14
12-09-2025,Maharashtra,Mumbai Suburban,400074,6,16
12-09-2025,Maharashtra,Mumbai Suburban,400077,0,14
12-09-2025,Maharashtra,Mumbai Suburban,400087,0,3
12-09-2025,Maharashtra,Mumbai Suburban,400093,5,13
12-09-2025,Maharashtra,Mumbai Suburban,400096,0,1
12-09-2025,Maharashtra,Mumbai Suburban,400102,2,29
15-09-2025,Maharashtra,Mumbai Suburban,400050,0,13
15-09-2025,Maharashtra,Mumbai Suburban,400051,0,25
15-09-2025,Maharashtra,Mumbai Suburban,400053,0,13
15-09-2025,Maharashtra,Mumbai Suburban,400054,0,7
15-09-2025,Maharashtra,Mumbai Suburban,400056,0,4
15-09-2025,Maharashtra,Mumbai Suburban,400059,3,13
15-09-2025,Maharashtra,Mumbai Suburban,400069,0,6
15-09-2025,Maharashtra,Mumbai Suburban,400070,6,24
15-09-2025,Maharashtra,Mumbai Suburban,400087,0,3
15-09-2025,Maharashtra,Mumbai Suburban,400089,0,6
15-09-2025,Maharashtra,Mumbai Suburban,400097,3,35
15-09-2025,Maharashtra,Mumbai Suburban,400103,3,10
14-09-2025,Maharashtra,Mumbai Suburban,400053,2,6
14-09-2025,Maharashtra,Mumbai Suburban,400061,0,4
14-09-2025,Maharashtra,Mumbai Suburban,400070,2,15
14-09-2025,Maharashtra,Mumbai Suburban,400071,0,4
14-09-2025,Maharashtra,Mumbai Suburban,400079,0,3
14-09-2025,Maharashtra,Mumbai Suburban,400082,0,1
14-09-2025,Maharashtra,Mumbai Suburban,400084,0,6
14-09-2025,Maharashtra,Mumbai Suburban,400089,1,1
14-09-2025,Maharashtra,Mumbai Suburban,400092,1,10
14-09-2025,Maharashtra,Mumbai Suburban,400094,0,1
14-09-2025,Maharashtra,Mumbai Suburban,400095,6,12
14-09-2025,Maharashtra,Mumbai Suburban,400097,2,18
14-09-2025,Maharashtra,Mumbai Suburban,400101,2,21
14-09-2025,Maharashtra,Mumbai Suburban,400104,1,18
16-09-2025,Maharashtra,Mumbai Suburban,400042,0,3
16-09-2025,Maharashtra,Mumbai Suburban,400057,0,7
16-09-2025,Maharashtra,Mumbai Suburban,400059,7,12
16-09-2025,Maharashtra,Mumbai Suburban,400067,4,52
16-09-2025,Maharashtra,Mumbai Suburban,400071,1,16
16-09-2025,Maharashtra,Mumbai Suburban,400076,1,11
16-09-2025,Maharashtra,Mumbai Suburban,400077,2,10
16-09-2025,Maharashtra,Mumbai Suburban,400080,4,19
16-09-2025,Maharashtra,Mumbai Suburban,400081,0,16
16-09-2025,Maharashtra,Mumbai Suburban,400091,2,5
16-09-2025,Maharashtra,Mumbai Suburban,400092,2,19
16-09-2025,Maharashtra,Mumbai Suburban,400095,7,49
17-09-2025,Maharashtra,Mumbai Suburban,400059,2,13
17-09-2025,Maharashtra,Mumbai Suburban,400063,0,13
17-09-2025,Maharashtra,Mumbai Suburban,400065,0,10
17-09-2025,Maharashtra,Mumbai Suburban,400098,0,5
18-09-2025,Maharashtra,Mumbai Suburban,400029,1,1
18-09-2025,Maharashtra,Mumbai Suburban,400051,1,11
18-09-2025,Maharashtra,Mumbai Suburban,400069,0,5
18-09-2025,Maharashtra,Mumbai Suburban,400072,6,26
18-09-2025,Maharashtra,Mumbai Suburban,400078,4,18
18-09-2025,Maharashtra,Mumbai Suburban,400089,2,6
18-09-2025,Maharashtra,Mumbai Suburban,400103,0,3
19-09-2025,Maharashtra,Mumbai Suburban,400029,0,4
19-09-2025,Maharashtra,Mumbai Suburban,400042,2,2
19-09-2025,Maharashtra,Mumbai Suburban,400055,7,19
19-09-2025,Maharashtra,Mumbai Suburban,400061,2,9
19-09-2025,Maharashtra,Mumbai Suburban,400067,6,35
19-09-2025,Maharashtra,Mumbai Suburban,400071,1,27
19-09-2025,Maharashtra,Mumbai Suburban,400075,1,10
19-09-2025,Maharashtra,Mumbai Suburban,400088,1,17
20-09-2025,Maharashtra,Mumbai Suburban,400053,1,11
20-09-2025,Maharashtra,Mumbai Suburban,400054,1,15
20-09-2025,Maharashtra,Mumbai Suburban,400063,3,17
20-09-2025,Maharashtra,Mumbai Suburban,400066,2,28
20-09-2025,Maharashtra,Mumbai Suburban,400070,9,35
20-09-2025,Maharashtra,Mumbai Suburban,400084,2,5
20-09-2025,Maharashtra,Mumbai Suburban,400096,0,1
20-09-2025,Maharashtra,Mumbai Suburban,400098,0,2
20-09-2025,Maharashtra,Mumbai Suburban,400102,1,33
20-09-2025,Maharashtra,Mumbai Suburban,400103,0,7
20-09-2025,Maharashtra,Mumbai Suburban,400104,5,30
13-10-2025,Maharashtra,Mumbai Suburban,400064,0,1
13-10-2025,Maharashtra,Mumbai Suburban,400067,0,4
13-10-2025,Maharashtra,Mumbai Suburban,400070,0,1
13-10-2025,Maharashtra,Mumbai Suburban,400075,0,2
13-10-2025,Maharashtra,Mumbai Suburban,400081,0,2
13-10-2025,Maharashtra,Mumbai Suburban,400089,0,4
15-10-2025,Maharashtra,Mumbai Suburban,400042,1,18
15-10-2025,Maharashtra,Mumbai Suburban,400043,12,38
15-10-2025,Maharashtra,Mumbai Suburban,400052,0,12
15-10-2025,Maharashtra,Mumbai Suburban,400057,0,6
15-10-2025,Maharashtra,Mumbai Suburban,400070,9,30
15-10-2025,Maharashtra,Mumbai Suburban,400078,3,41
15-10-2025,Maharashtra,Mumbai Suburban,400081,2,8
15-10-2025,Maharashtra,Mumbai Suburban,400083,2,15
15-10-2025,Maharashtra,Mumbai Suburban,400087,0,2
15-10-2025,Maharashtra,Mumbai Suburban,400102,6,27
16-10-2025,Maharashtra,Mumbai Suburban,400029,1,5
16-10-2025,Maharashtra,Mumbai Suburban,400042,4,22
16-10-2025,Maharashtra,Mumbai Suburban,400054,0,22
16-10-2025,Maharashtra,Mumbai Suburban,400057,3,17
16-10-2025,Maharashtra,Mumbai Suburban,400059,1,27
16-10-2025,Maharashtra,Mumbai Suburban,400063,1,8
16-10-2025,Maharashtra,Mumbai Suburban,400066,2,32
16-10-2025,Maharashtra,Mumbai Suburban,400067,10,77
16-10-2025,Maharashtra,Mumbai Suburban,400071,1,30
16-10-2025,Maharashtra,Mumbai Suburban,400087,0,2
16-10-2025,Maharashtra,Mumbai Suburban,400095,7,55
26-10-2025,Maharashtra,Mumbai Suburban,400042,0,9
26-10-2025,Maharashtra,Mumbai Suburban,400069,0,5
26-10-2025,Maharashtra,Mumbai Suburban,400071,1,26
26-10-2025,Maharashtra,Mumbai Suburban,400075,0,16
26-10-2025,Maharashtra,Mumbai Suburban,400092,3,21
26-10-2025,Maharashtra,Mumbai Suburban,400098,0,2
26-10-2025,Maharashtra,Mumbai Suburban,400103,2,6
20-10-2025,Maharashtra,Mumbai Suburban,400043,4,25
20-10-2025,Maharashtra,Mumbai Suburban,400065,1,2
20-10-2025,Maharashtra,Mumbai Suburban,400076,0,4
20-10-2025,Maharashtra,Mumbai Suburban,400091,0,4
20-10-2025,Maharashtra,Mumbai Suburban,400102,3,4
20-10-2025,Maharashtra,Mumbai Suburban,400104,3,8
19-10-2025,Maharashtra,Mumbai Suburban,400042,1,8
19-10-2025,Maharashtra,Mumbai Suburban,400049,0,1
19-10-2025,Maharashtra,Mumbai Suburban,400065,0,11
19-10-2025,Maharashtra,Mumbai Suburban,400072,6,29
19-10-2025,Maharashtra,Mumbai Suburban,400077,1,14
19-10-2025,Maharashtra,Mumbai Suburban,400081,0,9
19-10-2025,Maharashtra,Mumbai Suburban,400091,0,5
19-10-2025,Maharashtra,Mumbai Suburban,400094,0,6
19-10-2025,Maharashtra,Mumbai Suburban,400099,0,5
22-10-2025,Maharashtra,Mumbai Suburban,400042,1,3
22-10-2025,Maharashtra,Mumbai Suburban,400068,0,2
22-10-2025,Maharashtra,Mumbai Suburban,400071,0,1
22-10-2025,Maharashtra,Mumbai Suburban,400072,1,3
22-10-2025,Maharashtra,Mumbai Suburban,400074,0,3
22-10-2025,Maharashtra,Mumbai Suburban,400075,0,1
22-10-2025,Maharashtra,Mumbai Suburban,400088,1,3
22-10-2025,Maharashtra,Mumbai Suburban,400104,0,3
21-10-2025,Maharashtra,Mumbai Suburban,400043,3,27
21-10-2025,Maharashtra,Mumbai Suburban,400058,0,7
21-10-2025,Maharashtra,Mumbai Suburban,400067,1,14
21-10-2025,Maharashtra,Mumbai Suburban,400072,1,13
21-10-2025,Maharashtra,Mumbai Suburban,400077,0,1
21-10-2025,Maharashtra,Mumbai Suburban,400078,0,12
21-10-2025,Maharashtra,Mumbai Suburban,400083,0,3
21-10-2025,Maharashtra,Mumbai Suburban,400088,0,6
21-10-2025,Maharashtra,Mumbai Suburban,400101,2,5
21-10-2025,Maharashtra,Mumbai Suburban,400104,2,8
27-10-2025,Maharashtra,Mumbai Suburban,400042,0,2
27-10-2025,Maharashtra,Mumbai Suburban,400055,0,21
27-10-2025,Maharashtra,Mumbai Suburban,400058,2,21
27-10-2025,Maharashtra,Mumbai Suburban,400061,0,1
27-10-2025,Maharashtra,Mumbai Suburban,400093,1,15
30-10-2025,Maharashtra,Mumbai Suburban,400024,0,4
30-10-2025,Maharashtra,Mumbai Suburban,400029,0,1
30-10-2025,Maharashtra,Mumbai Suburban,400043,9,53
30-10-2025,Maharashtra,Mumbai Suburban,400053,1,11
30-10-2025,Maharashtra,Mumbai Suburban,400059,1,15
30-10-2025,Maharashtra,Mumbai Suburban,400063,2,13
30-10-2025,Maharashtra,Mumbai Suburban,400064,1,12
30-10-2025,Maharashtra,Mumbai Suburban,400077,0,10
30-10-2025,Maharashtra,Mumbai Suburban,400078,4,15
30-10-2025,Maharashtra,Mumbai Suburban,400081,2,2
30-10-2025,Maharashtra,Mumbai Suburban,400087,0,3
30-10-2025,Maharashtra,Mumbai Suburban,400099,1,7
02-11-2025,Maharashtra,Mumbai Suburban,400042,0,9
02-11-2025,Maharashtra,Mumbai Suburban,400054,1,10
02-11-2025,Maharashtra,Mumbai Suburban,400058,0,8
02-11-2025,Maharashtra,Mumbai Suburban,400068,0,24
02-11-2025,Maharashtra,Mumbai Suburban,400069,2,10
02-11-2025,Maharashtra,Mumbai Suburban,400070,7,23
02-11-2025,Maharashtra,Mumbai Suburban,400081,1,2
02-11-2025,Maharashtra,Mumbai Suburban,400084,1,8
02-11-2025,Maharashtra,Mumbai Suburban,400086,1,8
02-11-2025,Maharashtra,Mumbai Suburban,400097,1,29
02-11-2025,Maharashtra,Mumbai Suburban,400103,2,8
18-10-2025,Maharashtra,Mumbai Suburban,400049,3,8
18-10-2025,Maharashtra,Mumbai Suburban,400058,2,26
18-10-2025,Maharashtra,Mumbai Suburban,400066,3,16
18-10-2025,Maharashtra,Mumbai Suburban,400075,1,14
18-10-2025,Maharashtra,Mumbai Suburban,400082,0,1
18-10-2025,Maharashtra,Mumbai Suburban,400103,1,6
17-10-2025,Maharashtra,Mumbai Suburban,400029,0,3
17-10-2025,Maharashtra,Mumbai Suburban,400050,1,14
17-10-2025,Maharashtra,Mumbai Suburban,400055,2,12
17-10-2025,Maharashtra,Mumbai Suburban,400057,1,6
17-10-2025,Maharashtra,Mumbai Suburban,400060,1,8
17-10-2025,Maharashtra,Mumbai Suburban,400064,0,12
17-10-2025,Maharashtra,Mumbai Suburban,400068,2,25
17-10-2025,Maharashtra,Mumbai Suburban,400075,1,20
17-10-2025,Maharashtra,Mumbai Suburban,400082,0,3
17-10-2025,Maharashtra,Mumbai Suburban,400093,2,13
17-10-2025,Maharashtra,Mumbai Suburban,400095,4,38
17-10-2025,Maharashtra,Mumbai Suburban,400097,4,24
17-10-2025,Maharashtra,Mumbai Suburban,400098,0,2
17-10-2025,Maharashtra,Mumbai Suburban,400102,3,25
23-10-2025,Maharashtra,Mumbai Suburban,400042,0,5
23-10-2025,Maharashtra,Mumbai Suburban,400051,1,5
23-10-2025,Maharashtra,Mumbai Suburban,400056,0,2
23-10-2025,Maharashtra,Mumbai Suburban,400057,0,1
23-10-2025,Maharashtra,Mumbai Suburban,400063,0,3
23-10-2025,Maharashtra,Mumbai Suburban,400067,0,4
23-10-2025,Maharashtra,Mumbai Suburban,400068,0,5
23-10-2025,Maharashtra,Mumbai Suburban,400071,1,1
23-10-2025,Maharashtra,Mumbai Suburban,400074,1,3
23-10-2025,Maharashtra,Mumbai Suburban,400079,0,2
24-10-2025,Maharashtra,Mumbai Suburban,400050,1,20
24-10-2025,Maharashtra,Mumbai Suburban,400051,5,21
24-10-2025,Maharashtra,Mumbai Suburban,400058,2,28
24-10-2025,Maharashtra,Mumbai Suburban,400060,0,20
24-10-2025,Maharashtra,Mumbai Suburban,400061,0,9
24-10-2025,Maharashtra,Mumbai Suburban,400068,4,51
24-10-2025,Maharashtra,Mumbai Suburban,400069,1,9
24-10-2025,Maharashtra,Mumbai Suburban,400074,3,22
24-10-2025,Maharashtra,Mumbai Suburban,400075,0,20
24-10-2025,Maharashtra,Mumbai Suburban,400076,1,13
24-10-2025,Maharashtra,Mumbai Suburban,400077,4,15
24-10-2025,Maharashtra,Mumbai Suburban,400083,3,21
24-10-2025,Maharashtra,Mumbai Suburban,400101,7,46
24-10-2025,Maharashtra,Mumbai Suburban,400103,1,12
24-10-2025,Maharashtra,Mumbai Suburban,400104,3,36
25-10-2025,Maharashtra,Mumbai Suburban,400042,1,1
25-10-2025,Maharashtra,Mumbai Suburban,400049,0,5
25-10-2025,Maharashtra,Mumbai Suburban,400051,3,11
25-10-2025,Maharashtra,Mumbai Suburban,400070,1,18
25-10-2025,Maharashtra,Mumbai Suburban,400076,2,9
25-10-2025,Maharashtra,Mumbai Suburban,400079,0,3
25-10-2025,Maharashtra,Mumbai Suburban,400082,0,2
25-10-2025,Maharashtra,Mumbai Suburban,400084,1,6
29-10-2025,Maharashtra,Mumbai Suburban,400052,2,2
29-10-2025,Maharashtra,Mumbai Suburban,400054,2,5
29-10-2025,Maharashtra,Mumbai Suburban,400055,2,14
29-10-2025,Maharashtra,Mumbai Suburban,400058,1,16
29-10-2025,Maharashtra,Mumbai Suburban,400060,1,4
29-10-2025,Maharashtra,Mumbai Suburban,400061,0,6
29-10-2025,Maharashtra,Mumbai Suburban,400068,2,21
29-10-2025,Maharashtra,Mumbai Suburban,400079,0,4
28-10-2025,Maharashtra,Mumbai Suburban,400043,12,66
28-10-2025,Maharashtra,Mumbai Suburban,400050,1,12
28-10-2025,Maharashtra,Mumbai Suburban,400060,1,8
28-10-2025,Maharashtra,Mumbai Suburban,400064,1,22
28-10-2025,Maharashtra,Mumbai Suburban,400068,3,43
28-10-2025,Maharashtra,Mumbai Suburban,400071,1,17
28-10-2025,Maharashtra,Mumbai Suburban,400081,2,6
28-10-2025,Maharashtra,Mumbai Suburban,400082,1,3
28-10-2025,Maharashtra,Mumbai Suburban,400094,1,6
28-10-2025,Maharashtra,Mumbai Suburban,400097,5,37
28-10-2025,Maharashtra,Mumbai Suburban,400098,0,1
28-10-2025,Maharashtra,Mumbai Suburban,400099,0,13
28-10-2025,Maharashtra,Mumbai Suburban,400104,4,31
01-11-2025,Maharashtra,Mumbai Suburban,400024,2,5
01-11-2025,Maharashtra,Mumbai Suburban,400053,2,19
01-11-2025,Maharashtra,Mumbai Suburban,400057,1,11
01-11-2025,Maharashtra,Mumbai Suburban,400060,0,16
01-11-2025,Maharashtra,Mumbai Suburban,400066,7,28
01-11-2025,Maharashtra,Mumbai Suburban,400078,5,44
01-11-2025,Maharashtra,Mumbai Suburban,400083,0,18
01-11-2025,Maharashtra,Mumbai Suburban,400088,4,40
01-11-2025,Maharashtra,Mumbai Suburban,400097,10,43
31-10-2025,Maharashtra,Mumbai Suburban,400029,1,4
31-10-2025,Maharashtra,Mumbai Suburban,400050,2,16
31-10-2025,Maharashtra,Mumbai Suburban,400051,1,32
31-10-2025,Maharashtra,Mumbai Suburban,400052,2,8
31-10-2025,Maharashtra,Mumbai Suburban,400057,2,8
31-10-2025,Maharashtra,Mumbai Suburban,400068,6,45
31-10-2025,Maharashtra,Mumbai Suburban,400075,2,18
31-10-2025,Maharashtra,Mumbai Suburban,400076,2,11
31-10-2025,Maharashtra,Mumbai Suburban,400081,0,11
31-10-2025,Maharashtra,Mumbai Suburban,400087,0,3
31-10-2025,Maharashtra,Mumbai Suburban,400091,1,7
31-10-2025,Maharashtra,Mumbai Suburban,400094,4,6
31-10-2025,Maharashtra,Mumbai Suburban,400096,0,1
31-10-2025,Maharashtra,Mumbai Suburban,400101,2,49
31-10-2025,Maharashtra,Mumbai Suburban,400104,4,34
03-11-2025,Maharashtra,Mumbai Suburban,400049,2,6
03-11-2025,Maharashtra,Mumbai Suburban,400053,3,34
03-11-2025,Maharashtra,Mumbai Suburban,400067,6,83
03-11-2025,Maharashtra,Mumbai Suburban,400069,1,17
03-11-2025,Maharashtra,Mumbai Suburban,400074,5,43
03-11-2025,Maharashtra,Mumbai Suburban,400077,2,25
03-11-2025,Maharashtra,Mumbai Suburban,400082,0,4
03-11-2025,Maharashtra,Mumbai Suburban,400098,0,3
03-11-2025,Maharashtra,Mumbai Suburban,400102,4,45
03-11-2025,Maharashtra,Mumbai Suburban,400104,4,64
04-11-2025,Maharashtra,Mumbai Suburban,400024,0,5
04-11-2025,Maharashtra,Mumbai Suburban,400029,1,3
04-11-2025,Maharashtra,Mumbai Suburban,400043,4,31
04-11-2025,Maharashtra,Mumbai Suburban,400050,0,8
04-11-2025,Maharashtra,Mumbai Suburban,400051,2,13
04-11-2025,Maharashtra,Mumbai Suburban,400053,1,12
04-11-2025,Maharashtra,Mumbai Suburban,400055,0,13
04-11-2025,Maharashtra,Mumbai Suburban,400064,1,13
04-11-2025,Maharashtra,Mumbai Suburban,400071,2,8
04-11-2025,Maharashtra,Mumbai Suburban,400072,6,24
04-11-2025,Maharashtra,Mumbai Suburban,400078,5,21
04-11-2025,Maharashtra,Mumbai Suburban,400079,1,5
04-11-2025,Maharashtra,Mumbai Suburban,400083,1,7
04-11-2025,Maharashtra,Mumbai Suburban,400086,1,12
04-11-2025,Maharashtra,Mumbai Suburban,400097,4,33
04-11-2025,Maharashtra,Mumbai Suburban,400101,5,29
04-11-2025,Maharashtra,Mumbai Suburban,400103,0,6
05-11-2025,Maharashtra,Mumbai Suburban,400043,19,95
05-11-2025,Maharashtra,Mumbai Suburban,400051,5,43
05-11-2025,Maharashtra,Mumbai Suburban,400052,1,13
05-11-2025,Maharashtra,Mumbai Suburban,400058,2,32
05-11-2025,Maharashtra,Mumbai Suburban,400064,6,28
05-11-2025,Maharashtra,Mumbai Suburban,400069,1,21
05-11-2025,Maharashtra,Mumbai Suburban,400072,17,63
05-11-2025,Maharashtra,Mumbai Suburban,400074,7,34
05-11-2025,Maharashtra,Mumbai Suburban,400076,4,17
05-11-2025,Maharashtra,Mumbai Suburban,400079,0,16
05-11-2025,Maharashtra,Mumbai Suburban,400083,1,38
05-11-2025,Maharashtra,Mumbai Suburban,400087,0,4
05-11-2025,Maharashtra,Mumbai Suburban,400088,3,37
05-11-2025,Maharashtra,Mumbai Suburban,400094,6,6
