date,state,district,pincode,bio_age_5_17,bio_age_17_
14-12-2025,Maharashtra,Mumbai Suburban,400083,1,0
13-12-2025,Maharashtra,Mumbai Suburban,400050,22,1
13-12-2025,Maharashtra,Mumbai Suburban,400053,16,3
13-12-2025,Maharashtra,Mumbai Suburban,400057,5,2
13-12-2025,Maharashtra,Mumbai Suburban,400059,5,5
13-12-2025,Maharashtra,Mumbai Suburban,400060,17,9
13-12-2025,Maharashtra,Mumbai Suburban,400063,11,5
13-12-2025,Maharashtra,Mumbai Suburban,400065,11,5
13-12-2025,Maharashtra,Mumbai Suburban,400074,19,5
13-12-2025,Maharashtra,Mumbai Suburban,400075,26,2
13-12-2025,Maharashtra,Mumbai Suburban,400081,9,0
13-12-2025,Maharashtra,Mumbai Suburban,400084,20,6
13-12-2025,Maharashtra,Mumbai Suburban,400086,58,9
13-12-2025,Maharashtra,Mumbai Suburban,400087,2,1
16-11-2025,Maharashtra,Mumbai Suburban,400054,0,1
16-11-2025,Maharashtra,Mumbai Suburban,400103,0,4
12-12-2025,Maharashtra,Mumbai Suburban,400055,71,13
12-12-2025,Maharashtra,Mumbai Suburban,400058,16,10
12-12-2025,Maharashtra,Mumbai Suburban,400069,7,0
12-12-2025,Maharashtra,Mumbai Suburban,400071,26,5
12-12-2025,Maharashtra,Mumbai Suburban,400080,12,5
12-12-2025,Maharashtra,Mumbai Suburban,400083,21,11
12-12-2025,Maharashtra,Mumbai Suburban,400086,41,12
12-12-2025,Maharashtra,Mumbai Suburban,400099,8,3
12-12-2025,Maharashtra,Mumbai Suburban,400101,25,8
15-12-2025,Maharashtra,Mumbai Suburban,400029,5,3
15-12-2025,Maharashtra,Mumbai Suburban,400051,19,18
15-12-2025,Maharashtra,Mumbai Suburban,400054,6,6
15-12-2025,Maharashtra,Mumbai Suburban,400059,8,9
15-12-2025,Maharashtra,Mumbai Suburban,400061,4,9
15-12-2025,Maharashtra,Mumbai Suburban,400070,41,17
15-12-2025,Maharashtra,Mumbai Suburban,400077,11,5
15-12-2025,Maharashtra,Mumbai Suburban,400086,26,11
15-12-2025,Maharashtra,Mumbai Suburban,400089,5,3
15-12-2025,Maharashtra,Mumbai Suburban,400091,4,3
15-12-2025,Maharashtra,Mumbai Suburban,400102,16,21
16-12-2025,Maharashtra,Mumbai Suburban,400042,8,6
16-12-2025,Maharashtra,Mumbai Suburban,400058,19,6
16-12-2025,Maharashtra,Mumbai Suburban,400059,1,7
16-12-2025,Maharashtra,Mumbai Suburban,400063,9,2
16-12-2025,Maharashtra,Mumbai Suburban,400067,23,38
16-12-2025,Maharashtra,Mumbai Suburban,400068,17,11
16-12-2025,Maharashtra,Mumbai Suburban,400078,39,12
16-12-2025,Maharashtra,Mumbai Suburban,400080,17,11
16-12-2025,Maharashtra,Mumbai Suburban,400082,10,0
16-12-2025,Maharashtra,Mumbai Suburban,400086,21,6
16-12-2025,Maharashtra,Mumbai Suburban,400088,15,10
16-12-2025,Maharashtra,Mumbai Suburban,400091,5,6
16-12-2025,Maharashtra,Mumbai Suburban,400099,3,4
01-03-2025,Maharashtra,Mumbai Suburban,400064,145,138
01-03-2025,Maharashtra,Mumbai Suburban,400050,122,203
01-03-2025,Maharashtra,Mumbai Suburban,400063,77,104
01-03-2025,Maharashtra,Mumbai Suburban,400095,203,355
01-03-2025,Maharashtra,Mumbai Suburban,400094,32,33
01-03-2025,Maharashtra,Mumbai Suburban,400065,109,146
01-03-2025,Maharashtra,Mumbai Suburban,400069,70,67
01-03-2025,Maharashtra,Mumbai Suburban,400055,205,201
01-03-2025,Maharashtra,Mumbai Suburban,400054,52,58
01-03-2025,Maharashtra,Mumbai Suburban,400079,83,127
01-03-2025,Maharashtra,Mumbai Suburban,400075,86,136
01-04-2025,Maharashtra,Mumbai Suburban,400051,233,269
01-04-2025,Maharashtra,Mumbai Suburban,400081,74,69
01-04-2025,Maharashtra,Mumbai Suburban,400063,96,110
01-04-2025,Maharashtra,Mumbai Suburban,400052,75,53
01-05-2025,Maharashtra,Mumbai Suburban,400064,130,118
01-03-2025,Maharashtra,Mumbai Suburban,400066,143,231
01-03-2025,Maharashtra,Mumbai Suburban,400024,40,138
01-03-2025,Maharashtra,Mumbai Suburban,400029,58,35
01-03-2025,Maharashtra,Mumbai Suburban,400042,102,108
01-04-2025,Maharashtra,Mumbai Suburban,400080,219,238
01-04-2025,Maharashtra,Mumbai Suburban,400091,55,40
01-04-2025,Maharashtra,Mumbai Suburban,400099,94,76
01-04-2025,Maharashtra,Mumbai Suburban,400093,155,132
01-04-2025,Maharashtra,Mumbai Suburban,400076,64,54
01-04-2025,Maharashtra,Mumbai Suburban,400060,192,183
01-04-2025,Maharashtra,Mumbai Suburban,400103,46,47
01-04-2025,Maharashtra,Mumbai Suburban,400077,72,104
01-05-2025,Maharashtra,Mumbai Suburban,400056,50,31
01-05-2025,Maharashtra,Mumbai Suburban,400068,229,261
01-05-2025,Maharashtra,Mumbai Suburban,400089,87,90
01-05-2025,Maharashtra,Mumbai Suburban,400043,900,731
01-05-2025,Maharashtra,Mumbai Suburban,400102,177,202
01-05-2025,Maharashtra,Mumbai Suburban,400069,92,82
01-05-2025,Maharashtra,Mumbai Suburban,400066,218,214
19-10-2025,Maharashtra,Mumbai Suburban,400056,4,2
19-10-2025,Maharashtra,Mumbai Suburban,400082,4,0
26-10-2025,Maharashtra,Mumbai Suburban,400082,3,2
16-11-2025,Maharashtra,Mumbai Suburban,400057,1,0
23-12-2025,Maharashtra,Mumbai Suburban,400054,3,3
23-12-2025,Maharashtra,Mumbai Suburban,400056,9,1
23-12-2025,Maharashtra,Mumbai Suburban,400057,4,0
23-12-2025,Maharashtra,Mumbai Suburban,400060,17,16
23-12-2025,Maharashtra,Mumbai Suburban,400076,9,6
23-12-2025,Maharashtra,Mumbai Suburban,400078,67,12
23-12-2025,Maharashtra,Mumbai Suburban,400080,20,17
23-12-2025,Maharashtra,Mumbai Suburban,400082,6,2
23-12-2025,Maharashtra,Mumbai Suburban,400088,7,8
23-12-2025,Maharashtra,Mumbai Suburban,400089,3,3
23-12-2025,Maharashtra,Mumbai Suburban,400092,17,9
22-12-2025,Maharashtra,Mumbai Suburban,400024,0,10
22-12-2025,Maharashtra,Mumbai Suburban,400050,11,13
22-12-2025,Maharashtra,Mumbai Suburban,400051,21,22
22-12-2025,Maharashtra,Mumbai Suburban,400052,4,3
22-12-2025,Maharashtra,Mumbai Suburban,400056,5,4
22-12-2025,Maharashtra,Mumbai Suburban,400060,16,16
22-12-2025,Maharashtra,Mumbai Suburban,400084,8,2
22-12-2025,Maharashtra,Mumbai Suburban,400086,19,18
22-12-2025,Maharashtra,Mumbai Suburban,400087,4,3
22-12-2025,Maharashtra,Mumbai Suburban,400092,11,7
07-12-2025,Maharashtra,Mumbai Suburban,400057,2,2
07-12-2025,Maharashtra,Mumbai Suburban,400061,4,2
07-12-2025,Maharashtra,Mumbai Suburban,400083,0,12
07-12-2025,Maharashtra,Mumbai Suburban,400092,3,8
06-12-2025,Maharashtra,Mumbai Suburban,400087,0,2
17-12-2025,Maharashtra,Mumbai Suburban,400029,2,2
17-12-2025,Maharashtra,Mumbai Suburban,400042,15,4
17-12-2025,Maharashtra,Mumbai Suburban,400065,12,7
17-12-2025,Maharashtra,Mumbai Suburban,400069,8,4
17-12-2025,Maharashtra,Mumbai Suburban,400072,32,13
17-12-2025,Maharashtra,Mumbai Suburban,400076,11,4
17-12-2025,Maharashtra,Mumbai Suburban,400087,0,1
17-12-2025,Maharashtra,Mumbai Suburban,400094,1,1
17-12-2025,Maharashtra,Mumbai Suburban,400104,20,22
24-12-2025,Maharashtra,Mumbai Suburban,400024,1,1
24-12-2025,Maharashtra,Mumbai Suburban,400042,9,6
24-12-2025,Maharashtra,Mumbai Suburban,400064,12,9
24-12-2025,Maharashtra,Mumbai Suburban,400072,38,20
24-12-2025,Maharashtra,Mumbai Suburban,400076,12,4
24-12-2025,Maharashtra,Mumbai Suburban,400082,3,5
24-12-2025,Maharashtra,Mumbai Suburban,400089,12,5
24-12-2025,Maharashtra,Mumbai Suburban,400102,10,5
20-12-2025,Maharashtra,Mumbai Suburban,400024,3,4
20-12-2025,Maharashtra,Mumbai Suburban,400043,107,55
20-12-2025,Maharashtra,Mumbai Suburban,400050,15,8
20-12-2025,Maharashtra,Mumbai Suburban,400066,22,10
20-12-2025,Maharashtra,Mumbai Suburban,400071,23,4
20-12-2025,Maharashtra,Mumbai Suburban,400074,23,16
20-12-2025,Maharashtra,Mumbai Suburban,400079,7,7
20-12-2025,Maharashtra,Mumbai Suburban,400088,16,9
20-12-2025,Maharashtra,Mumbai Suburban,400097,46,11
20-12-2025,Maharashtra,Mumbai Suburban,400101,28,15
19-12-2025,Maharashtra,Mumbai Suburban,400049,4,2
19-12-2025,Maharashtra,Mumbai Suburban,400054,6,7
19-12-2025,Maharashtra,Mumbai Suburban,400057,7,3
19-12-2025,Maharashtra,Mumbai Suburban,400058,14,8
19-12-2025,Maharashtra,Mumbai Suburban,400060,17,20
19-12-2025,Maharashtra,Mumbai Suburban,400065,7,4
19-12-2025,Maharashtra,Mumbai Suburban,400068,14,10
19-12-2025,Maharashtra,Mumbai Suburban,400078,72,13
19-12-2025,Maharashtra,Mumbai Suburban,400083,9,13
19-12-2025,Maharashtra,Mumbai Suburban,400087,2,0
19-12-2025,Maharashtra,Mumbai Suburban,400101,44,33
19-12-2025,Maharashtra,Mumbai Suburban,400102,20,6
25-12-2025,Maharashtra,Mumbai Suburban,400024,0,2
25-12-2025,Maharashtra,Mumbai Suburban,400051,1,0
25-12-2025,Maharashtra,Mumbai Suburban,400060,4,2
25-12-2025,Maharashtra,Mumbai Suburban,400063,2,1
25-12-2025,Maharashtra,Mumbai Suburban,400068,3,1
26-12-2025,Maharashtra,Mumbai Suburban,400029,5,4
26-12-2025,Maharashtra,Mumbai Suburban,400042,6,6
26-12-2025,Maharashtra,Mumbai Suburban,400050,8,14
26-12-2025,Maharashtra,Mumbai Suburban,400052,6,3
26-12-2025,Maharashtra,Mumbai Suburban,400055,21,18
26-12-2025,Maharashtra,Mumbai Suburban,400056,12,1
26-12-2025,Maharashtra,Mumbai Suburban,400064,9,12
26-12-2025,Maharashtra,Mumbai Suburban,400072,43,18
26-12-2025,Maharashtra,Mumbai Suburban,400074,29,10
26-12-2025,Maharashtra,Mumbai Suburban,400078,35,20
26-12-2025,Maharashtra,Mumbai Suburban,400092,17,14
26-12-2025,Maharashtra,Mumbai Suburban,400095,19,16
10-12-2025,Maharashtra,Mumbai Suburban,400049,1,11
18-12-2025,Maharashtra,Mumbai Suburban,400052,6,2
18-12-2025,Maharashtra,Mumbai Suburban,400054,5,5
18-12-2025,Maharashtra,Mumbai Suburban,400064,9,6
18-12-2025,Maharashtra,Mumbai Suburban,400083,21,20
18-12-2025,Maharashtra,Mumbai Suburban,400084,11,1
18-12-2025,Maharashtra,Mumbai Suburban,400093,9,11
18-12-2025,Maharashtra,Mumbai Suburban,400101,36,23
21-12-2025,Maharashtra,Mumbai Suburban,400054,2,1
21-12-2025,Maharashtra,Mumbai Suburban,400061,2,0
21-12-2025,Maharashtra,Mumbai Suburban,400068,1,1
21-12-2025,Maharashtra,Mumbai Suburban,400069,1,0
21-12-2025,Maharashtra,Mumbai Suburban,400093,4,1
30-11-2025,Maharashtra,Mumbai Suburban,400024,2,5
30-11-2025,Maharashtra,Mumbai Suburban,400029,0,2
30-11-2025,Maharashtra,Mumbai Suburban,400049,0,1
30-11-2025,Maharashtra,Mumbai Suburban,400065,0,9
30-11-2025,Maharashtra,Mumbai Suburban,400069,1,9
30-11-2025,Maharashtra,Mumbai Suburban,400071,0,5
30-11-2025,Maharashtra,Mumbai Suburban,400077,0,4
30-11-2025,Maharashtra,Mumbai Suburban,400083,0,6
30-11-2025,Maharashtra,Mumbai Suburban,400094,0,2
23-11-2025,Maharashtra,Mumbai Suburban,400050,0,5
23-11-2025,Maharashtra,Mumbai Suburban,400082,0,2
24-11-2025,Maharashtra,Mumbai Suburban,400098,0,7
05-11-2025,Maharashtra,Mumbai Suburban,400057,1,6
05-11-2025,Maharashtra,Mumbai Suburban,400082,0,1
05-11-2025,Maharashtra,Mumbai Suburban,400103,0,11
02-11-2025,Maharashtra,Mumbai Suburban,400050,0,1
02-11-2025,Maharashtra,Mumbai Suburban,400089,0,6
02-11-2025,Maharashtra,Mumbai Suburban,400092,0,17
09-11-2025,Maharashtra,Mumbai Suburban,400050,0,2
09-11-2025,Maharashtra,Mumbai Suburban,400078,1,17
09-11-2025,Maharashtra,Mumbai Suburban,400094,1,3
07-12-2025,Maharashtra,Mumbai Suburban,400055,0,2
07-12-2025,Maharashtra,Mumbai Suburban,400072,9,4
07-12-2025,Maharashtra,Mumbai Suburban,400074,1,0
07-12-2025,Maharashtra,Mumbai Suburban,400086,2,1
07-12-2025,Maharashtra,Mumbai Suburban,400097,10,4
07-12-2025,Maharashtra,Mumbai Suburban,400101,50,38
07-12-2025,Maharashtra,Mumbai Suburban,400104,13,9
10-12-2025,Maharashtra,Mumbai Suburban,400055,17,9
10-12-2025,Maharashtra,Mumbai Suburban,400056,5,1
10-12-2025,Maharashtra,Mumbai Suburban,400059,4,6
10-12-2025,Maharashtra,Mumbai Suburban,400060,25,13
10-12-2025,Maharashtra,Mumbai Suburban,400065,7,10
10-12-2025,Maharashtra,Mumbai Suburban,400070,38,27
10-12-2025,Maharashtra,Mumbai Suburban,400071,21,15
10-12-2025,Maharashtra,Mumbai Suburban,400074,33,9
10-12-2025,Maharashtra,Mumbai Suburban,400076,4,6
08-12-2025,Maharashtra,Mumbai Suburban,400042,8,6
08-12-2025,Maharashtra,Mumbai Suburban,400049,0,1
08-12-2025,Maharashtra,Mumbai Suburban,400053,5,7
08-12-2025,Maharashtra,Mumbai Suburban,400055,18,14
08-12-2025,Maharashtra,Mumbai Suburban,400057,1,0
08-12-2025,Maharashtra,Mumbai Suburban,400059,5,2
08-12-2025,Maharashtra,Mumbai Suburban,400060,23,15
08-12-2025,Maharashtra,Mumbai Suburban,400069,5,5
08-12-2025,Maharashtra,Mumbai Suburban,400081,6,2
08-12-2025,Maharashtra,Mumbai Suburban,400086,31,13
08-12-2025,Maharashtra,Mumbai Suburban,400088,23,27
08-12-2025,Maharashtra,Mumbai Suburban,400104,20,15
09-12-2025,Maharashtra,Mumbai Suburban,400024,11,5
09-12-2025,Maharashtra,Mumbai Suburban,400058,16,7
09-12-2025,Maharashtra,Mumbai Suburban,400066,16,9
09-12-2025,Maharashtra,Mumbai Suburban,400070,50,31
09-12-2025,Maharashtra,Mumbai Suburban,400075,15,6
09-12-2025,Maharashtra,Mumbai Suburban,400078,24,19
09-12-2025,Maharashtra,Mumbai Suburban,400079,11,5
09-12-2025,Maharashtra,Mumbai Suburban,400083,20,17
09-12-2025,Maharashtra,Mumbai Suburban,400087,8,3
09-12-2025,Maharashtra,Mumbai Suburban,400092,8,12
09-12-2025,Maharashtra,Mumbai Suburban,400093,7,5
11-12-2025,Maharashtra,Mumbai Suburban,400052,4,3
11-12-2025,Maharashtra,Mumbai Suburban,400053,6,6
11-12-2025,Maharashtra,Mumbai Suburban,400059,7,4
11-12-2025,Maharashtra,Mumbai Suburban,400061,1,3
11-12-2025,Maharashtra,Mumbai Suburban,400064,12,7
11-12-2025,Maharashtra,Mumbai Suburban,400072,37,16
11-12-2025,Maharashtra,Mumbai Suburban,400074,29,28
11-12-2025,Maharashtra,Mumbai Suburban,400080,10,5
11-12-2025,Maharashtra,Mumbai Suburban,400084,6,2
11-12-2025,Maharashtra,Mumbai Suburban,400093,5,13
11-12-2025,Maharashtra,Mumbai Suburban,400095,59,28
11-12-2025,Maharashtra,Mumbai Suburban,400102,22,12
26-10-2025,Maharashtra,Mumbai Suburban,400024,0,3
26-10-2025,Maharashtra,Mumbai Suburban,400057,0,3
26-10-2025,Maharashtra,Mumbai Suburban,400059,0,9
26-10-2025,Maharashtra,Mumbai Suburban,400081,0,6
19-10-2025,Maharashtra,Mumbai Suburban,400053,0,7
19-10-2025,Maharashtra,Mumbai Suburban,400067,2,17
19-10-2025,Maharashtra,Mumbai Suburban,400074,0,9
19-10-2025,Maharashtra,Mumbai Suburban,400102,0,13
02-11-2025,Maharashtra,Mumbai Suburban,400043,6,1
02-11-2025,Maharashtra,Mumbai Suburban,400052,1,0
02-11-2025,Maharashtra,Mumbai Suburban,400056,1,2
02-11-2025,Maharashtra,Mumbai Suburban,400076,2,2
02-11-2025,Maharashtra,Mumbai Suburban,400080,0,2
06-11-2025,Maharashtra,Mumbai Suburban,400049,3,1
06-11-2025,Maharashtra,Mumbai Suburban,400051,31,25
06-11-2025,Maharashtra,Mumbai Suburban,400058,12,5
06-11-2025,Maharashtra,Mumbai Suburban,400061,6,5
06-11-2025,Maharashtra,Mumbai Suburban,400068,35,29
06-11-2025,Maharashtra,Mumbai Suburban,400071,12,20
06-11-2025,Maharashtra,Mumbai Suburban,400080,9,16
06-11-2025,Maharashtra,Mumbai Suburban,400086,8,14
06-11-2025,Maharashtra,Mumbai Suburban,400098,1,4
05-11-2025,Maharashtra,Mumbai Suburban,400054,1,0
05-11-2025,Maharashtra,Mumbai Suburban,400061,0,3
05-11-2025,Maharashtra,Mumbai Suburban,400065,1,3
05-11-2025,Maharashtra,Mumbai Suburban,400097,13,10
05-11-2025,Maharashtra,Mumbai Suburban,400102,4,2
16-07-2025,Maharashtra,Mumbai Suburban,400087,2,3
03-11-2025,Maharashtra,Mumbai Suburban,400024,1,7
03-11-2025,Maharashtra,Mumbai Suburban,400054,5,4
03-11-2025,Maharashtra,Mumbai Suburban,400057,1,1
03-11-2025,Maharashtra,Mumbai Suburban,400058,11,8
03-11-2025,Maharashtra,Mumbai Suburban,400060,8,6
03-11-2025,Maharashtra,Mumbai Suburban,400065,6,6
03-11-2025,Maharashtra,Mumbai Suburban,400070,40,27
03-11-2025,Maharashtra,Mumbai Suburban,400075,1,8
03-11-2025,Maharashtra,Mumbai Suburban,400076,1,3
03-11-2025,Maharashtra,Mumbai Suburban,400080,12,17
03-11-2025,Maharashtra,Mumbai Suburban,400088,17,11
03-11-2025,Maharashtra,Mumbai Suburban,400092,7,5
03-11-2025,Maharashtra,Mumbai Suburban,400097,13,20
03-11-2025,Maharashtra,Mumbai Suburban,400099,5,7
04-11-2025,Maharashtra,Mumbai Suburban,400059,16,12
04-11-2025,Maharashtra,Mumbai Suburban,400061,2,4
04-11-2025,Maharashtra,Mumbai Suburban,400063,5,8
04-11-2025,Maharashtra,Mumbai Suburban,400065,7,7
04-11-2025,Maharashtra,Mumbai Suburban,400067,50,53
04-11-2025,Maharashtra,Mumbai Suburban,400069,7,7
04-11-2025,Maharashtra,Mumbai Suburban,400082,6,0
04-11-2025,Maharashtra,Mumbai Suburban,400094,1,1
04-11-2025,Maharashtra,Mumbai Suburban,400095,35,21
27-07-2025,Maharashtra,Mumbai Suburban,400050,0,3
23-07-2025,Maharashtra,Mumbai Suburban,400076,0,9
20-07-2025,Maharashtra,Mumbai Suburban,400052,0,3
20-07-2025,Maharashtra,Mumbai Suburban,400053,1,7
20-07-2025,Maharashtra,Mumbai Suburban,400057,0,1
20-07-2025,Maharashtra,Mumbai Suburban,400083,0,14
21-07-2025,Maharashtra,Mumbai Suburban,400053,3,20
29-07-2025,Maharashtra,Mumbai Suburban,400076,1,21
07-11-2025,Maharashtra,Mumbai Suburban,400059,54,3
07-11-2025,Maharashtra,Mumbai Suburban,400066,102,11
07-11-2025,Maharashtra,Mumbai Suburban,400070,32,22
07-11-2025,Maharashtra,Mumbai Suburban,400093,8,10
07-11-2025,Maharashtra,Mumbai Suburban,400098,3,1
07-11-2025,Maharashtra,Mumbai Suburban,400101,73,15
07-11-2025,Maharashtra,Mumbai Suburban,400024,5,7
10-07-2025,Maharashtra,Mumbai Suburban,400098,1,2
11-07-2025,Maharashtra,Mumbai Suburban,400087,0,2
13-07-2025,Maharashtra,Mumbai Suburban,400055,0,9
18-11-2025,Maharashtra,Mumbai Suburban,400051,37,16
18-11-2025,Maharashtra,Mumbai Suburban,400053,4,9
18-11-2025,Maharashtra,Mumbai Suburban,400067,38,29
18-11-2025,Maharashtra,Mumbai Suburban,400079,35,6
18-11-2025,Maharashtra,Mumbai Suburban,400084,14,4
18-11-2025,Maharashtra,Mumbai Suburban,400088,8,23
18-11-2025,Maharashtra,Mumbai Suburban,400089,4,5
18-11-2025,Maharashtra,Mumbai Suburban,400091,7,6
19-11-2025,Maharashtra,Mumbai Suburban,400042,9,7
19-11-2025,Maharashtra,Mumbai Suburban,400054,10,9
19-11-2025,Maharashtra,Mumbai Suburban,400069,16,5
19-11-2025,Maharashtra,Mumbai Suburban,400071,6,12
19-11-2025,Maharashtra,Mumbai Suburban,400077,5,7
19-11-2025,Maharashtra,Mumbai Suburban,400083,20,16
19-11-2025,Maharashtra,Mumbai Suburban,400094,5,5
24-08-2025,Maharashtra,Mumbai Suburban,400049,0,1
24-08-2025,Maharashtra,Mumbai Suburban,400063,0,1
24-08-2025,Maharashtra,Mumbai Suburban,400068,1,7
24-08-2025,Maharashtra,Mumbai Suburban,400080,0,6
24-08-2025,Maharashtra,Mumbai Suburban,400081,0,1
20-11-2025,Maharashtra,Mumbai Suburban,400052,15,2
20-11-2025,Maharashtra,Mumbai Suburban,400053,3,6
20-11-2025,Maharashtra,Mumbai Suburban,400058,13,5
20-11-2025,Maharashtra,Mumbai Suburban,400070,106,16
20-11-2025,Maharashtra,Mumbai Suburban,400071,17,21
20-11-2025,Maharashtra,Mumbai Suburban,400082,4,2
20-11-2025,Maharashtra,Mumbai Suburban,400087,0,1
20-11-2025,Maharashtra,Mumbai Suburban,400102,18,11
27-08-2025,Maharashtra,Mumbai Suburban,400049,0,6
27-08-2025,Maharashtra,Mumbai Suburban,400061,0,4
27-08-2025,Maharashtra,Mumbai Suburban,400072,1,17
27-08-2025,Maharashtra,Mumbai Suburban,400092,3,10
27-08-2025,Maharashtra,Mumbai Suburban,400093,0,3
07-09-2025,Maharashtra,Mumbai Suburban,400052,1,4
07-09-2025,Maharashtra,Mumbai Suburban,400056,2,1
07-09-2025,Maharashtra,Mumbai Suburban,400061,1,1
07-09-2025,Maharashtra,Mumbai Suburban,400080,2,16
07-09-2025,Maharashtra,Mumbai Suburban,400084,0,2
07-09-2025,Maharashtra,Mumbai Suburban,400088,1,1
07-09-2025,Maharashtra,Mumbai Suburban,400089,0,7
21-11-2025,Maharashtra,Mumbai Suburban,400029,0,2
21-11-2025,Maharashtra,Mumbai Suburban,400043,75,38
21-11-2025,Maharashtra,Mumbai Suburban,400049,1,0
21-11-2025,Maharashtra,Mumbai Suburban,400050,9,7
21-11-2025,Maharashtra,Mumbai Suburban,400059,12,6
21-11-2025,Maharashtra,Mumbai Suburban,400063,11,8
